row_ID,final_price
35000,2761.492
35001,5688.8125
35002,5964.1753
35003,1062.5292
35004,5117.686
35005,5715.1904
35006,3742.1565
35007,2719.4287
35008,3445.7698
35009,4432.527
35010,2081.9966
35011,2941.4016
35012,2494.3933
35013,300.42093
35014,11029.103
35015,17179.225
35016,5822.429
35017,912.3783
35018,12558.955
35019,2653.061
35020,246.62344
35021,7574.8984
35022,8099.008
35023,8651.193
35024,7969.2954
35025,2120.4268
35026,4623.7393
35027,4811.64
35028,172.32852
35029,29285.13
35030,6915.933
35031,1925.8802
35032,13063.263
35033,7196.009
35034,3997.8264
35035,12392.755
35036,6845.536
35037,4147.6265
35038,3220.825
35039,10579.754
35040,1888.0264
35041,6080.735
35042,4252.092
35043,3773.959
35044,3081.5366
35045,2031.2058
35046,692.7608
35047,4805.664
35048,3524.1843
35049,5855.9106
35050,1923.6085
35051,12289.0205
35052,1233.5
35053,5360.573
35054,3163.5364
35055,447.5857
35056,1655.177
35057,308.43027
35058,274.36765
35059,5837.7563
35060,484.9988
35061,4000.385
35062,2583.1626
35063,5032.5547
35064,85.01566
35065,13151.798
35066,7388.722
35067,3984.443
35068,1083.5391
35069,4393.6875
35070,6162.9805
35071,5340.9805
35072,1101.6262
35073,14312.725
35074,4952.49
35075,7163.5425
35076,5798.4546
35077,6367.944
35078,19822.377
35079,516.81506
35080,3932.3044
35081,5613.8857
35082,3081.2778
35083,3639.8113
35084,3333.1323
35085,3362.4407
35086,2982.8103
35087,13516.19
35088,3705.1033
35089,3454.6667
35090,871.20874
35091,2476.9924
35092,274.36765
35093,13399.785
35094,1591.6661
35095,6280.62
35096,4795.495
35097,7528.4424
35098,2725.0264
35099,4441.1577
35100,4514.613
35101,6930.553
35102,11705.328
35103,47.60404
35104,5275.8496
35105,7652.8433
35106,6522.3813
35107,4236.8228
35108,5142.1475
35109,6396.8877
35110,12122.314
35111,2697.8276
35112,6363.489
35113,1098.8113
35114,5280.4395
35115,3757.0947
35116,2733.1128
35117,9119.1
35118,1011.7494
35119,10605.456
35120,2703.9597
35121,3378.9138
35122,2454.8005
35123,5344.5293
35124,4064.5857
35125,2488.8774
35126,1892.7612
35127,6108.5645
35128,6303.684
35129,15246.431
35130,3850.3105
35131,800.02094
35132,3500.4866
35133,1226.4387
35134,2465.5977
35135,5981.5586
35136,63.208996
35137,909.06805
35138,2906.0264
35139,1702.2378
35140,2430.3381
35141,16792.582
35142,5226.898
35143,11376.652
35144,1415.2394
35145,2829.9233
35146,8181.4
35147,1938.7113
35148,3079.4895
35149,3439.7158
35150,5833.317
35151,3194.154
35152,110.33835
35153,1904.2838
35154,5724.924
35155,308.43027
35156,4223.5625
35157,5478.405
35158,2123.0574
35159,5825.2085
35160,215.71216
35161,4787.875
35162,4098.6763
35163,965.73627
35164,2792.912
35165,8815.526
35166,6795.0283
35167,4193.482
35168,6232.0444
35169,2781.553
35170,1928.5244
35171,5763.4204
35172,6372.702
